county,state,low,med,high
Pulaski,IL,0.17,0.10,0.07
Putnam,IL,0.15,0.09,0.05
Randolph,IL,0.17,0.10,0.06
Richland,IL,0.17,0.11,0.07
Rock Island,IL,0.16,0.09,0.06
St. Clair,IL,0.17,0.09,0.06
Saline,IL,0.17,0.10,0.07
Sangamon,IL,0.15,0.09,0.05
Schuyler,IL,0.16,0.10,0.06
Scott,IL,0.17,0.10,0.06
Shelby,IL,0.16,0.10,0.06
Stark,IL,0.15,0.09,0.05
Stephenson,IL,0.15,0.09,0.05
Tazewell,IL,0.15,0.09,0.05
Union,IL,0.17,0.10,0.07
