FIPS,state,county,Th1_Lower Coverage and Higher Refusal Rates,Th2_Lack of Access to Infomation,Th2_Socio-economically disadvantaged,Th3_Low Healthcare System Capacity,Th3_Weak Healthcare System,Th4_Barriers due to cost,Th4_Barriers due to Transportation,Th5_Lack of Designated Medical Home,Th5_Lack of Routine Care Visits
37073,North Carolina,Gates County,0.618274435,0.652340019,0.626552053,0.890799109,0.980579433,0.559694365,0.380770455,0.711556829,0.201528176
37075,North Carolina,Graham County,0.457497612,0.94301178,0.878382681,0.575294492,0.694046482,0.870423432,0.660617638,0.663482967,0.258198026
37077,North Carolina,Granville County,0.475007959,0.370264247,0.4692773,0.716332378,0.897803247,0.651384909,0.364533588,0.805157593,0.258198026
37079,North Carolina,Greene County,0.453040433,0.845272206,0.914676855,0.637695002,0.991404011,0.870423432,0.830308819,0.76599809,0.206622095
37081,North Carolina,Guilford County,0.356892709,0.565425024,0.611270296,0.449538364,0.879019421,0.681630054,0.456224132,0.711556829,0.183381089
37083,North Carolina,Halifax County,0.368035657,0.895256288,0.978350844,0.063037249,0.985991722,0.793059535,0.966571156,0.650748169,0.142948106
37085,North Carolina,Harnett County,0.388729704,0.273798153,0.621458134,0.740528494,0.995542821,0.747851003,0.423750398,0.759630691,0.274753263
37087,North Carolina,Haywood County,0.448901624,0.638968481,0.390958294,0.508436804,0.931232092,0.695001592,0.456542502,0.525947151,0.186246418
37089,North Carolina,Henderson County,0.285259472,0.443807705,0.298949379,0.126392869,0.655205349,0.76440624,0.298631009,0.560012735,0.180197389
37091,North Carolina,Hertford County,0.727156956,0.888888889,0.905762496,0.034065584,0.962750716,0.756128621,0.915950334,0.774275708,0.158866603
37093,North Carolina,Hoke County,0.622413244,0.418338109,0.894301178,0.895256288,0.990767272,0.829035339,0.364533588,0.872970392,0.279528812
37095,North Carolina,Hyde County,0.384909265,0.964342566,0.979305954,0.782871697,0.699777141,0.878701051,0.006049029,0.814071952,0.258198026
37097,North Carolina,Iredell County,0.316778096,0.266475645,0.330468004,0.269022604,0.914995224,0.659980898,0.188475008,0.678127985,0.248010188
37099,North Carolina,Jackson County,0.494428526,0.738936644,0.58834766,0.134670487,0.713785419,0.807067813,0.578159822,0.827125119,0.375358166
37101,North Carolina,Johnston County,0.399235912,0.41451767,0.404329831,0.769818529,0.977077364,0.780643107,0.23591213,0.738299904,0.287806431
37103,North Carolina,Jones County,0.366125438,0.747214263,0.903533906,0.607768227,0.933142311,0.859917224,0.695956702,0.612225406,0.162050302
37105,North Carolina,Lee County,0.355937599,0.761540911,0.70837313,0.457179242,0.971983445,0.829035339,0.524355301,0.723336517,0.215218083
37107,North Carolina,Lenoir County,0.356892709,0.781279847,0.887615409,0.023559376,0.99968163,0.794333015,0.966571156,0.64533588,0.150270614
37109,North Carolina,Lincoln County,0.317414836,0.224450812,0.35402738,0.638650111,0.946513849,0.651384909,0.202164916,0.663482967,0.262973575
37111,North Carolina,McDowell County,0.611270296,0.744667303,0.669213626,0.739891754,0.788920726,0.760585801,0.578159822,0.720789557,0.310410697
37113,North Carolina,Macon County,0.397962432,0.798790194,0.498885705,0.333014963,0.621139764,0.810569882,0.489016237,0.618274435,0.210124164
