st_cty,low,med,high,tot_hesi
GA Stephens County,0.24,0.17,0.11,0.52
GA Stewart County,0.23,0.16,0.1,0.49
GA Sumter County,0.23,0.16,0.1,0.49
GA Talbot County,0.23,0.16,0.1,0.49
GA Taliaferro County,0.25,0.16,0.1,0.51
GA Tattnall County,0.27,0.19,0.12,0.58
GA Taylor County,0.23,0.16,0.1,0.49
GA Telfair County,0.27,0.19,0.12,0.58
GA Terrell County,0.26,0.18,0.11,0.55
GA Thomas County,0.24,0.16,0.1,0.5
GA Tift County,0.26,0.17,0.11,0.54
GA Toombs County,0.27,0.19,0.12,0.58
GA Towns County,0.21,0.15,0.09,0.45
GA Treutlen County,0.25,0.17,0.11,0.53
GA Troup County,0.25,0.17,0.11,0.53
GA Turner County,0.26,0.17,0.11,0.54
GA Twiggs County,0.22,0.15,0.09,0.46
GA Union County,0.21,0.15,0.09,0.45
GA Upson County,0.24,0.17,0.11,0.52
GA Walker County,0.24,0.17,0.11,0.52
GA Walton County,0.22,0.16,0.1,0.48
GA Ware County,0.27,0.19,0.12,0.58
GA Warren County,0.25,0.16,0.1,0.51
GA Washington County,0.25,0.16,0.1,0.51
GA Wayne County,0.27,0.19,0.12,0.58
GA Webster County,0.23,0.16,0.1,0.49
GA Wheeler County,0.27,0.19,0.12,0.58
GA White County,0.21,0.15,0.09,0.45
GA Whitfield County,0.22,0.15,0.1,0.47
GA Wilcox County,0.25,0.17,0.11,0.53
GA Wilkes County,0.25,0.16,0.1,0.51
GA Wilkinson County,0.22,0.15,0.09,0.46
GA Worth County,0.24,0.16,0.1,0.5
HI Hawaii County,0.1,0.06,0.03,0.19
HI Honolulu County,0.08,0.05,0.03,0.16
HI Kalawao County,0.1,0.06,0.03,0.19
HI Kauai County,0.1,0.06,0.03,0.19
HI Maui County,0.1,0.06,0.03,0.19
ID Ada County,0.23,0.18,0.11,0.52
ID Adams County,0.25,0.19,0.12,0.56
ID Bannock County,0.27,0.2,0.13,0.6
ID Bear Lake County,0.27,0.2,0.13,0.6
ID Benewah County,0.25,0.19,0.12,0.56
ID Bingham County,0.27,0.2,0.13,0.6
ID Blaine County,0.28,0.2,0.13,0.61
ID Boise County,0.25,0.19,0.12,0.56
ID Bonner County,0.25,0.19,0.12,0.56
ID Bonneville County,0.25,0.18,0.12,0.55
ID Boundary County,0.25,0.19,0.12,0.56
ID Butte County,0.25,0.19,0.12,0.56
ID Camas County,0.28,0.2,0.13,0.61
ID Canyon County,0.25,0.19,0.12,0.56
ID Caribou County,0.27,0.2,0.13,0.6
ID Cassia County,0.27,0.2,0.13,0.6
ID Clark County,0.25,0.19,0.12,0.56
ID Clearwater County,0.25,0.19,0.12,0.56
ID Custer County,0.25,0.19,0.12,0.56
ID Elmore County,0.28,0.2,0.13,0.61
ID Franklin County,0.27,0.2,0.13,0.6
ID Fremont County,0.27,0.2,0.13,0.6
