st_cty,vac_rate,low,med,high,tot_hesi,Th1_Historic_Undervaccination,Th2_Sociodemographic_Barriers,Th3_Resource_constrained_Healthcare_System,Th4_Healthcare_Accessibility_Barriers,party,believe_in_god,relig_rank,religious_index
IN Starke County,31.8,0.18,0.13,0.08,0.39,0.989812162,0.721107927,0.814708691,0.216809933,0,0.63,22,0.54
IN Steuben County,41.8,0.2,0.15,0.1,0.45,0.914995224,0.087233365,0.802292264,0.29321872,0,0.63,22,0.54
IN Sullivan County,40.5,0.19,0.14,0.09,0.42,0.934415791,0.613817256,0.907354346,0.58802929,0,0.63,22,0.54
IN Switzerland County,26.3,0.17,0.13,0.08,0.38,0.958293537,0.660299268,0.895574658,0.404329831,0,0.63,22,0.54
IN Tippecanoe County,50.6,0.16,0.11,0.07,0.34,0.94364852,0.312320917,0.405921681,0.484559058,1,0.63,22,0.54
IN Tipton County,39.3,0.19,0.14,0.09,0.42,0.905444126,0.157911493,0.748487743,0.156956383,0,0.63,22,0.54
IN Union County,38.4,0.19,0.14,0.09,0.42,0.952562878,0.518306272,0.64501751,0.490608087,0,0.63,22,0.54
IN Vanderburgh County,49.6,0.18,0.13,0.08,0.39,0.902260427,0.323463865,0.316141356,0.572110793,0,0.63,22,0.54
IN Vermillion County,39.3,0.19,0.14,0.09,0.42,0.984718243,0.477554919,0.623368354,0.228271251,0,0.63,22,0.54
IN Vigo County,43,0.19,0.14,0.08,0.41,0.925501433,0.40942375,0.475007959,0.631009233,0,0.63,22,0.54
IN Wabash County,36.8,0.19,0.14,0.09,0.42,0.88220312,0.344476281,0.757083731,0.419929959,0,0.63,22,0.54
IN Warren County,39,0.19,0.14,0.09,0.42,0.994906081,0.101560013,0.885386819,0.082139446,0,0.63,22,0.54
IN Warrick County,54.5,0.15,0.11,0.07,0.33,0.897484877,0.008595989,0.407195161,0.077363897,0,0.63,22,0.54
IN Washington County,34.4,0.17,0.13,0.08,0.38,0.923272843,0.629099013,0.583253741,0.636421522,0,0.63,22,0.54
IN Wayne County,40.8,0.19,0.14,0.09,0.42,0.918178924,0.654568609,0.336198663,0.829672079,0,0.63,22,0.54
IN Wells County,36.9,0.19,0.14,0.09,0.42,0.907672716,0.169372811,0.806112703,0.264883795,0,0.63,22,0.54
IN White County,47.8,0.19,0.14,0.09,0.42,0.924864693,0.307863738,0.526265521,0.220948742,0,0.63,22,0.54
IN Whitley County,41.6,0.19,0.14,0.09,0.42,0.911811525,0.047118752,0.741801974,0.17574021,0,0.63,22,0.54
KS Allen County,38.1,0.21,0.16,0.1,0.47,0.750397962,0.452722063,0.428844317,0.35402738,0,0.66,19,0.55
KS Anderson County,36.1,0.21,0.16,0.1,0.47,0.931868832,0.619866285,0.606176377,0.488379497,0,0.66,19,0.55
KS Atchison County,37.4,0.22,0.16,0.1,0.48,0.932823941,0.523718561,0.419611589,0.726520216,0,0.66,19,0.55
KS Barber County,40.1,0.21,0.16,0.1,0.47,0.93950971,0.483922318,0.393186883,0.841451767,0,0.66,19,0.55
KS Barton County,36.1,0.21,0.16,0.1,0.47,0.88124801,0.465456861,0.268704234,0.726201847,0,0.66,19,0.55
